"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	3.9217174699485e-219	0.716535099297127	0.501	0.236	8.30815846008589e-215	"0"	"ADAM19"
"2"	9.85206558387563e-218	0.432682428359487	0.666	0.399	2.08716009394405e-213	"0"	"CD69"
"3"	1.74925208569405e-207	0.535057100869578	0.551	0.311	3.70579054354285e-203	"0"	"STOM"
"4"	1.02275200128524e-200	0.600770983907287	0.524	0.265	2.16670011472277e-196	"0"	"CXCR6"
"5"	3.09040550182273e-188	1.05356693051212	0.303	0.083	6.54702405561146e-184	"0"	"ITGA1"
"6"	2.26548153594413e-187	0.69085903724434	0.454	0.195	4.79942263389764e-183	"0"	"GZMK"
"7"	2.06938047600387e-182	0.858875961307666	0.406	0.152	4.3839825384142e-178	"0"	"CAPG"
"8"	3.77584945851328e-155	0.424755069455185	0.557	0.319	7.99913707786038e-151	"0"	"GPR171"
"9"	7.86403978653502e-153	0.433801429745952	0.55	0.305	1.66599682877744e-148	"0"	"CXCR3"
"10"	7.94914141750708e-153	0.39459769281204	0.666	0.464	1.68402560929887e-148	"0"	"EMB"
"11"	5.26387251963797e-150	0.760596530382074	0.319	0.138	1.1151513932853e-145	"0"	"SKIL"
"12"	1.15913620986704e-147	0.569006834684017	0.365	0.174	2.45563006060332e-143	"0"	"F2R"
"13"	2.15490529524712e-138	0.467331801639589	0.553	0.328	4.56516686798102e-134	"0"	"JAML"
"14"	5.72845379654384e-138	0.417840694070686	0.644	0.454	1.21357293679781e-133	"0"	"ADGRE5"
"15"	2.87297954395998e-136	0.62949148430757	0.414	0.232	6.08640716387922e-132	"0"	"ITGAE"
"16"	1.2658066790351e-129	0.477258038476295	0.555	0.356	2.68161144953585e-125	"0"	"MIR4680"
"17"	1.8874747574512e-124	0.664005530727977	0.406	0.217	3.99861527366038e-120	"0"	"TBCD"
"18"	1.32799625147218e-122	0.603035853377929	0.388	0.177	2.81336005874382e-118	"0"	"AOAH"
"19"	1.78191313431571e-116	0.470703403971768	0.348	0.182	3.77498297504784e-112	"0"	"SYTL2"
"20"	2.93459842798834e-107	0.504687363550431	0.453	0.29	6.2169467696933e-103	"0"	"PDE4B"
"21"	8.4008971909683e-105	0.396817570162691	0.288	0.116	1.77973006990663e-100	"0"	"PELO"
"22"	9.1105440944998e-102	0.515671303122079	0.316	0.158	1.93006876641978e-97	"0"	"SLF1"
"23"	5.58376347822766e-99	0.428509378155003	0.384	0.225	1.18292029286253e-94	"0"	"PTGER4"
"24"	6.70010561342789e-99	0.533450768846299	0.276	0.123	1.4194173742047e-94	"0"	"LINC00892"
"25"	1.14774076112283e-91	0.64733112852866	0.313	0.174	2.43148880243872e-87	"0"	"BHLHE40"
"26"	6.6172583303011e-89	0.539836838516076	0.302	0.152	1.40186617727429e-84	"0"	"ARHGAP18"
"27"	6.01145899479996e-88	0.923548147538754	0.282	0.119	1.27352758804837e-83	"0"	"ITM2C"
"28"	1.42496544200934e-85	0.465823831934987	0.353	0.201	3.01878928889679e-81	"0"	"GLUL"
"29"	1.43800746006945e-83	0.666571713607648	0.312	0.161	3.04641880415713e-79	"0"	"DPP4"
"30"	5.39094180214611e-83	0.412875576797926	0.345	0.209	1.14207102078465e-78	"0"	"IFNGR1"
"31"	2.51653667338251e-82	0.395779006878802	0.427	0.266	5.33128294256085e-78	"0"	"IFI44"
"32"	8.10424800876431e-80	0.400976655521041	0.269	0.135	1.71688494065672e-75	"0"	"TNFSF14"
"33"	1.81609031276923e-79	0.393519860969318	0.316	0.177	3.84738732760161e-75	"0"	"GAB3"
"34"	7.03824135044555e-78	0.600968635519433	0.276	0.14	1.49105143009189e-73	"0"	"ARHGAP35"
"35"	2.69033795504136e-71	0.584212489016612	0.286	0.154	5.69948095775513e-67	"0"	"RUNX2"
"36"	1.51052798440293e-68	0.763922218064201	0.278	0.153	3.2000535349576e-64	"0"	"FOSB"
"37"	1.52100275186536e-66	0.474898646323353	0.356	0.228	3.22224432982677e-62	"0"	"CD40LG"
"38"	4.50893082102068e-64	0.438157702964615	0.375	0.242	9.55216994433232e-60	"0"	"PDE4DIP"
"39"	3.93541577408804e-61	0.504271881872453	0.284	0.168	8.33717831740551e-57	"0"	"GYG1"
"40"	2.80241241147933e-59	0.452234042395894	0.273	0.16	5.93691069371895e-55	"0"	"ANKRD28"
"41"	7.48851485181795e-55	0.528505509569932	0.262	0.153	1.58644187135763e-50	"0"	"FMNL3"
"42"	4.35793492927693e-54	0.447893607815114	0.286	0.182	9.23228514767318e-50	"0"	"PPP1R16B"
"43"	4.68372007803256e-36	0.556796320712163	0.251	0.168	9.92246098531197e-32	"0"	"PDE4D"
