"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"LCP2"	4.87094795321938e-84	0.283090019902931	0.569	0.416	1.03191032388952e-79	"0"	"LCP2"
"DPP4"	1.43800746006945e-83	0.666571713607648	0.312	0.161	3.04641880415713e-79	"0"	"DPP4"
"ERN1"	2.32902662627143e-83	0.357526676492655	0.323	0.185	4.93404290775602e-79	"0"	"ERN1"
"IFNGR1"	5.39094180214611e-83	0.412875576797926	0.345	0.209	1.14207102078465e-78	"0"	"IFNGR1"
"STK17B"	5.94468989748423e-83	0.257058346083443	0.697	0.545	1.25938255478203e-78	"0"	"STK17B"
"IQGAP1"	1.09274774430365e-82	0.289555116520538	0.597	0.457	2.31498609630728e-78	"0"	"IQGAP1"
"IFI44"	2.51653667338251e-82	0.395779006878802	0.427	0.266	5.33128294256085e-78	"0"	"IFI44"
"TNFSF14"	8.10424800876431e-80	0.400976655521041	0.269	0.135	1.71688494065672e-75	"0"	"TNFSF14"
"GAB3"	1.81609031276923e-79	0.393519860969318	0.316	0.177	3.84738732760161e-75	"0"	"GAB3"
"GLIPR2"	4.39535852085425e-79	0.360287878403331	0.424	0.277	9.31156702642972e-75	"0"	"GLIPR2"
"ARHGAP35"	7.03824135044555e-78	0.600968635519433	0.276	0.14	1.49105143009189e-73	"0"	"ARHGAP35"
"ARAP2"	1.08763030535397e-77	0.317535949016935	0.436	0.302	2.30414480189238e-73	"0"	"ARAP2"
"IDS"	4.31495832340076e-76	0.334782604409151	0.506	0.362	9.14123920812451e-72	"0"	"IDS"
"HLA-DRB5"	1.01897210872442e-75	0.25153461043772	0.574	0.435	2.15869241233268e-71	"0"	"HLA-DRB5"
"FAM102A"	4.58614273479574e-74	0.383660774997671	0.457	0.301	9.71574338366477e-70	"0"	"FAM102A"
"ATP2B4"	4.33682490752222e-72	0.287611955435657	0.488	0.345	9.18756356658583e-68	"0"	"ATP2B4"
"RUNX2"	2.69033795504136e-71	0.584212489016612	0.286	0.154	5.69948095775513e-67	"0"	"RUNX2"
"FOSB"	1.51052798440293e-68	0.763922218064201	0.278	0.153	3.2000535349576e-64	"0"	"FOSB"
"RNF19A"	2.01389563768094e-67	0.273381452828042	0.492	0.362	4.26643790842706e-63	"0"	"RNF19A"
"EML4"	4.93322890367955e-67	0.255933862887689	0.525	0.41	1.04510454324451e-62	"0"	"EML4"
"DOCK8"	9.12842201913453e-67	0.250756195356803	0.614	0.48	1.93385620475365e-62	"0"	"DOCK8"
"CD40LG"	1.52100275186536e-66	0.474898646323353	0.356	0.228	3.22224432982677e-62	"0"	"CD40LG"
"EPS15"	5.86964106461387e-65	0.320348838883358	0.436	0.314	1.24348345953845e-60	"0"	"EPS15"
"SLC2A3"	1.30275961784099e-64	0.337699136719187	0.449	0.335	2.75989625039613e-60	"0"	"SLC2A3"
"PDE4DIP"	4.50893082102068e-64	0.438157702964615	0.375	0.242	9.55216994433232e-60	"0"	"PDE4DIP"
"ATF7IP"	5.85327834324557e-62	0.260952110188406	0.572	0.447	1.24001701701657e-57	"0"	"ATF7IP"
"DHRS3"	6.0388682126919e-62	0.354246028969088	0.274	0.157	1.27933423085878e-57	"0"	"DHRS3"
"TGFBR2"	1.52432138055997e-61	0.280309900805679	0.371	0.244	3.22927484471629e-57	"0"	"TGFBR2"
"GYG1"	3.93541577408804e-61	0.504271881872453	0.284	0.168	8.33717831740551e-57	"0"	"GYG1"
"ANKRD28"	2.80241241147933e-59	0.452234042395894	0.273	0.16	5.93691069371895e-55	"0"	"ANKRD28"
"REEP5"	1.12668439367286e-58	0.254519313087855	0.511	0.384	2.38688088799595e-54	"0"	"REEP5"
"TRIM22"	2.5409559174388e-55	0.250202839399737	0.618	0.491	5.38301511109409e-51	"0"	"TRIM22"
