"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"66"	1.26947564802185e-29	1.1896749557316	0.357	0.256	2.68938416033428e-25	"3"	"RPL23P8"
"67"	8.74922280661416e-29	1.4138494113084	0.275	0.201	1.85352285158121e-24	"3"	"SLIRP"
"68"	8.01980727713984e-26	1.55757162292405	0.299	0.24	1.69899617166208e-21	"3"	"MYL5"
"69"	1.47631855053535e-25	1.28155640598691	0.431	0.344	3.12758084930913e-21	"3"	"TXN"
"70"	4.12327262055276e-24	1.50253995027205	0.299	0.246	8.73515304664102e-20	"3"	"NDUFA3"
"71"	2.78899885476679e-20	1.55099058400391	0.322	0.236	5.90849407382345e-16	"3"	"COPS9"
"72"	2.98500942785082e-20	1.28713004566425	0.503	0.389	6.32374247290197e-16	"3"	"CD99"
"73"	3.16672924810742e-20	1.28276195252975	0.27	0.231	6.70871591211557e-16	"3"	"MRPL41"
"74"	6.73284275409323e-18	1.33662637530611	0.326	0.248	1.42635273745465e-13	"3"	"SEC61G"
"75"	6.96880222809189e-14	1.74936098337782	0.256	0.223	1.47634075202127e-09	"3"	"COX17"
"76"	7.00182702448992e-14	1.5855728178651	0.307	0.258	1.48333705513819e-09	"3"	"ROMO1"
"77"	2.35327685520619e-13	1.26195091758006	0.265	0.233	4.98541701775431e-09	"3"	"UQCRHL"
"78"	6.34553924323624e-10	1.6200753504468	0.334	0.322	1.3443024886796e-05	"3"	"SUMO1P3"
"79"	9.6225143986398e-09	1.43133137382499	0.292	0.313	0.000203852967535184	"3"	"HMGN3-AS1"
"80"	1.25162835192565e-05	1.2071712225483	0.322	0.339	0.26515746635545	"3"	"MAP1LC3B2"
"81"	0	4.71030513857148	0.448	0.009	0	"4"	"IL1R2"
"82"	0	3.13431228933279	0.736	0.041	0	"4"	"CCR8"
"83"	0	3.12073017282539	0.794	0.117	0	"4"	"TNFRSF4"
"84"	0	2.7609864865568	0.849	0.107	0	"4"	"TNFRSF18"
