"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RUNX2"	3.40496947017258e-73	1.03404435097981	1	1	4.17040660706738e-69	"0"	"RUNX2"
"CXCL13"	3.4276890024575e-73	2.65113556829281	1	1	4.19823349020995e-69	"0"	"CXCL13"
"TBXAS1"	3.55153116722407e-73	1.26406830189902	1	1	4.34991537361604e-69	"0"	"TBXAS1"
"CCL20"	5.9935145481448e-73	0.938165375056794	1	1	7.34085661856775e-69	"0"	"CCL20"
"TMEM200A"	4.63992289814395e-70	1.57573230723984	1	1	5.68297756564671e-66	"0"	"TMEM200A"
"SLAMF1"	5.2885504537323e-70	0.823542870633407	1	1	6.47741659573133e-66	"0"	"SLAMF1"
"STOM"	4.51293770408472e-69	0.779111335787274	1	1	5.52744609996297e-65	"0"	"STOM"
"LDHA"	1.55148754941782e-68	0.567263492510449	1	1	1.90026195052694e-64	"0"	"LDHA"
"TNF"	6.42618924128813e-68	1.05317639113249	1	1	7.8707965827297e-64	"0"	"TNF"
"LGALS3"	6.13072834960266e-66	1.03032670297443	1	1	7.50891608259334e-62	"0"	"LGALS3"
"ANXA1"	5.20969542161452e-64	0.636197852232197	1	1	6.38083495239346e-60	"0"	"ANXA1"
"CPNE7"	7.66571537759925e-64	1.21702053972586	1	1	9.38896819448356e-60	"0"	"CPNE7"
"IFI44L"	2.15995214804558e-63	1.05834825626794	1	1	2.64550939092623e-59	"0"	"IFI44L"
"LGALS3BP"	1.2206062693634e-62	0.800958440249737	1	1	1.4949985587163e-58	"0"	"LGALS3BP"
"DDIT4"	2.1270057041031e-62	0.681796389743315	1	1	2.60515658638548e-58	"0"	"DDIT4"
"DUSP6"	3.66045003802545e-62	1.46765187428297	1	1	4.48331920657357e-58	"0"	"DUSP6"
"DHRS3"	5.02585271230407e-62	1.07395039579758	1	1	6.15566440203002e-58	"0"	"DHRS3"
"OXNAD1"	1.94112764615692e-61	0.38770736718401	1	1	2.377493141013e-57	"0"	"OXNAD1"
"PLAT"	4.86560597410741e-61	1.9911115587445	1	1	5.95939419708676e-57	"0"	"PLAT"
"SARAF"	1.67858243557443e-60	0.413737798316209	1	1	2.05592776709157e-56	"0"	"SARAF"
"CD200R1"	2.15281642126216e-60	0.879259827831124	1	1	2.6367695527619e-56	"0"	"CD200R1"
"ANKRD28"	7.89184999990992e-60	0.972862001369126	1	1	9.66593787988967e-56	"0"	"ANKRD28"
"TGFBI"	1.63623027299041e-59	2.0782494953532	1	1	2.00405483835865e-55	"0"	"TGFBI"
"FTH1"	2.32617816250721e-59	0.451335617672406	1	1	2.84910301343883e-55	"0"	"FTH1"
"CXCR6"	7.42480116429394e-59	0.944635209645977	1	1	9.09389646602722e-55	"0"	"CXCR6"
"CRYBG1"	1.27878357106256e-58	0.546983653589535	1	1	1.56625411783742e-54	"0"	"CRYBG1"
"ITM2A"	1.26966830975006e-57	0.496309692200569	1	1	1.55508974578188e-53	"0"	"ITM2A"
"EMBP1"	1.74279134011699e-57	0.682183580167834	1	1	2.13457083337528e-53	"0"	"EMBP1"
"ELK3"	3.93137584062079e-57	1.15424714523134	1	1	4.81514912959234e-53	"0"	"ELK3"
"LOC100130476"	4.75231103079421e-57	0.800577692451768	1	1	5.82063055051675e-53	"0"	"LOC100130476"
"EMB"	5.09053054899457e-57	0.490983454689683	1	1	6.23488181640856e-53	"0"	"EMB"
"CXCR3"	5.36297248563631e-56	0.700037958403051	1	1	6.56856870040735e-52	"0"	"CXCR3"
"IFNGR1"	7.65676754732874e-56	0.720482413978722	1	1	9.37800889196824e-52	"0"	"IFNGR1"
"CLIC5"	1.10177101248638e-55	0.912649075778418	1	1	1.34944913609332e-51	"0"	"CLIC5"
"SPOCK2"	5.86427973152655e-55	0.545560389941656	1	1	7.18256981517372e-51	"0"	"SPOCK2"
"CIB1"	9.05250967994164e-54	0.523741346468626	1	1	1.10875138559925e-49	"0"	"CIB1"
"ANK3"	1.32210812833975e-53	0.580144200418381	1	1	1.61931803559053e-49	"0"	"ANK3"
"CYSLTR1"	1.35351006535989e-53	1.64835055039599	1	1	1.6577791280528e-49	"0"	"CYSLTR1"
"PDCD4"	1.95301953481914e-53	0.451213794748341	1	1	2.39205832624648e-49	"0"	"PDCD4"
"AHR"	2.23825506796392e-53	0.719442089968442	1	1	2.74141480724221e-49	"0"	"AHR"
"RAPGEF6"	3.07396604026371e-53	0.516337135565728	1	1	3.76499360611499e-49	"0"	"RAPGEF6"
"GPR183"	3.64668229091719e-53	0.685634160962056	1	1	4.46645646991537e-49	"0"	"GPR183"
"CCR2"	7.8470000158032e-53	0.982781577696166	1	1	9.61100561935576e-49	"0"	"CCR2"
"HNRNPLL"	1.53283257758626e-52	0.396156111801407	1	1	1.87741334102765e-48	"0"	"HNRNPLL"
"PPARG"	2.60297468591231e-52	2.56369243460805	1	1	3.1881233953054e-48	"0"	"PPARG"
"FXYD5"	4.15780059801321e-52	0.531443862897945	1	1	5.09247417244658e-48	"0"	"FXYD5"
"PDCD1"	4.97680291910611e-52	0.976220920004952	1	1	6.09558821532116e-48	"0"	"PDCD1"
"SLA"	7.96296254955177e-52	0.642217275530712	1	1	9.753036530691e-48	"0"	"SLA"
"FAM46C"	3.59844676160018e-51	0.527785129371843	1	1	4.4073775936079e-47	"0"	"FAM46C"
"TIMP1"	1.6689272554048e-50	0.731400459472077	1	1	2.0441021024198e-46	"0"	"TIMP1"
"PER1"	2.03527050845456e-50	0.820996960753831	1	1	2.49279931875515e-46	"0"	"PER1"
"TNFAIP8"	2.6135763231933e-50	0.606994696456141	1	1	3.20110828064715e-46	"0"	"TNFAIP8"
"RORA"	3.8435302184827e-50	0.637532060606748	1	1	4.70755581159761e-46	"0"	"RORA"
"PDE4DIP"	8.66394983707863e-50	0.50726046863473	1	1	1.06116057604539e-45	"0"	"PDE4DIP"
"ZFP36"	2.28197525647726e-49	0.79144887125166	1	1	2.79496329413335e-45	"0"	"ZFP36"
"TLE3"	3.02498307225495e-49	0.786508571728465	1	1	3.70499926689786e-45	"0"	"TLE3"
"KLF6"	4.93917390465625e-49	0.656341736113001	1	1	6.04950019842297e-45	"0"	"KLF6"
"CD226"	1.08620864689217e-48	0.792186700165377	1	1	1.33038835071352e-44	"0"	"CD226"
"ACTB"	1.15454758146167e-48	0.278213990264831	1	1	1.41408987777425e-44	"0"	"ACTB"
"SLC2A14"	1.33435611561491e-48	1.15703649377279	1	1	1.63431937040515e-44	"0"	"SLC2A14"
"RPS6KA2"	1.94701305718176e-48	1.0990455004108	1	1	2.38470159243622e-44	"0"	"RPS6KA2"
"VIM"	3.34584920679281e-48	0.760653329483986	1	1	4.09799610847983e-44	"0"	"VIM"
"CD5"	3.83432552916171e-48	0.644027920791014	1	1	4.69628190811726e-44	"0"	"CD5"
"PPP1R15A"	4.7975290558884e-48	0.584947535667666	1	1	5.87601358765211e-44	"0"	"PPP1R15A"
"NCF4"	5.61885738810085e-48	0.660165795317813	1	1	6.88197652894592e-44	"0"	"NCF4"
"CREM"	6.57163710580953e-48	0.83281064861205	1	1	8.04894112719551e-44	"0"	"CREM"
"TNFSF10"	1.35791482197313e-47	0.535237847959642	1	1	1.66317407395269e-43	"0"	"TNFSF10"
"C9orf66"	1.38402522873708e-47	0.568841474578974	1	1	1.69515410015718e-43	"0"	"C9orf66"
"KDSR"	1.65687867481088e-47	0.925719170430387	1	1	2.02934500090837e-43	"0"	"KDSR"
"PDE4D"	1.66880921584654e-47	0.738954042852924	1	1	2.04395752756884e-43	"0"	"PDE4D"
"ICOS"	6.39776886440177e-47	0.726479587475016	1	1	7.83598730511929e-43	"0"	"ICOS"
"ITPR1"	1.09919230229457e-46	1.04616346056472	1	1	1.34629073185039e-42	"0"	"ITPR1"
"IL18R1"	1.43631841265991e-46	0.725855513668865	1	1	1.75920279182586e-42	"0"	"IL18R1"
"MGAT5"	1.61745838726453e-46	0.762138831601511	1	1	1.9810630327216e-42	"0"	"MGAT5"
"ACTG1"	4.24990173399306e-46	0.300879324333245	1	1	5.2052796437947e-42	"0"	"ACTG1"
"SERINC5"	6.10345177771642e-46	0.399232973705132	1	1	7.47550773734707e-42	"0"	"SERINC5"
"RGS16"	6.36364453896464e-46	1.80494749081212	1	1	7.79419183132389e-42	"0"	"RGS16"
"HIF1A"	1.12050662327511e-45	0.683572348591632	1	1	1.37239651218736e-41	"0"	"HIF1A"
"NLRP3"	2.25436411166894e-45	1.74961493329258	1	1	2.76114516397212e-41	"0"	"NLRP3"
"MPZL3"	2.49226665372286e-45	0.494862093246034	1	1	3.05252819747976e-41	"0"	"MPZL3"
"PLP2"	1.02299155015106e-44	0.68682758522705	1	1	1.25296005062502e-40	"0"	"PLP2"
"LDLRAD4"	2.92507759425561e-44	1.0516548892146	1	1	3.58263503744427e-40	"0"	"LDLRAD4"
"TMEM64"	2.93349921761831e-44	1.03808884471034	1	1	3.5929498417389e-40	"0"	"TMEM64"
"IL4I1"	3.09263798110157e-44	1.76784766888208	1	1	3.78786299925321e-40	"0"	"IL4I1"
"ATP2B4"	4.05718809757428e-44	0.744720014535982	1	1	4.96924398190898e-40	"0"	"ATP2B4"
"SMARCA2"	6.61555338228254e-44	0.892784997058712	1	1	8.10272978261965e-40	"0"	"SMARCA2"
"CHN1"	1.07871926241083e-43	1.29485584279997	1	1	1.32121535260079e-39	"0"	"CHN1"
"PERP"	1.14825762709864e-43	0.717257102260167	1	1	1.40638594167041e-39	"0"	"PERP"
"PLIN2"	1.77831588629095e-43	0.783577837299191	1	1	2.17808129752915e-39	"0"	"PLIN2"
"IGFBP4"	3.04242408717796e-43	1.97532732221188	1	1	3.72636102197556e-39	"0"	"IGFBP4"
"FKBP11"	5.55358293995155e-43	0.411385338485751	1	1	6.80202838485265e-39	"0"	"FKBP11"
"ADARB2"	8.77205899163968e-43	0.943854009043486	1	1	1.07440178529603e-38	"0"	"ADARB2"
"RBMS1"	2.39522768571344e-42	0.626301826276698	1	1	2.93367486946182e-38	"0"	"RBMS1"
"ANTXR2"	2.49496535148267e-42	0.479182913641253	1	1	3.05583356249597e-38	"0"	"ANTXR2"
"ARHGAP18"	2.52268256410464e-42	0.898574479730506	1	1	3.08978160451536e-38	"0"	"ARHGAP18"
"FAM129A"	7.81117156303881e-42	0.693492726285484	1	1	9.56712293040994e-38	"0"	"FAM129A"
"TANK"	8.56241154639867e-42	0.552474795942661	1	1	1.04872416620291e-37	"0"	"TANK"
"ELMO1"	8.94488684153647e-42	0.560720708846997	1	1	1.09556974035139e-37	"0"	"ELMO1"
"RASSF2"	1.05791844456346e-41	0.447855181118776	1	1	1.29573851090132e-37	"0"	"RASSF2"
"KIAA0825"	3.8231448220306e-41	0.515440727873031	1	1	4.68258777802308e-37	"0"	"KIAA0825"
"CYTIP"	7.98014424105251e-41	0.516729772048294	1	1	9.77408066644112e-37	"0"	"CYTIP"
"GNA15"	9.3643161660292e-41	1.36971168844796	1	1	1.14694144401526e-36	"0"	"GNA15"
"SLC39A8"	1.07397374708254e-40	0.614673702453825	1	1	1.31540304542669e-36	"0"	"SLC39A8"
"MICAL1"	1.12706747817232e-40	0.718846559087652	1	1	1.38043224726546e-36	"0"	"MICAL1"
"SLF1"	1.34888746723744e-40	0.341330247504761	1	1	1.65211736987242e-36	"0"	"SLF1"
"MYO7A"	1.89418468114297e-40	0.848828421560455	1	1	2.31999739746391e-36	"0"	"MYO7A"
"AHNAK"	3.18326498700148e-40	0.366705512460516	1	1	3.89886295607942e-36	"0"	"AHNAK"
"CD58"	3.54982158007048e-40	0.680974463610745	1	1	4.34782147127032e-36	"0"	"CD58"
"TMSB4X"	4.05253462772998e-40	0.285075310564102	1	1	4.96354441204369e-36	"0"	"TMSB4X"
"GPRIN3"	6.75469456230224e-40	0.63430996789419	1	1	8.27314989990778e-36	"0"	"GPRIN3"
"SENP7"	1.21102335009114e-39	0.450277497185823	1	1	1.48326139919163e-35	"0"	"SENP7"
"BTLA"	1.96759467638753e-39	1.08210280748699	1	1	2.40990995963944e-35	"0"	"BTLA"
"PLEKHA5"	2.65988744304094e-39	0.872157139562646	1	1	3.25783014023655e-35	"0"	"PLEKHA5"
"PLEKHG5"	4.98218335960026e-39	0.460367967359337	1	1	6.1021781788384e-35	"0"	"PLEKHG5"
"COTL1"	5.73994581974316e-39	0.325194426636742	1	1	7.03028564002142e-35	"0"	"COTL1"
"MTM1"	6.04696421124451e-39	0.631729045129969	1	1	7.40632176593228e-35	"0"	"MTM1"
"CLU"	9.11485187295829e-39	1.4934677317118	1	1	1.11638705739993e-34	"0"	"CLU"
"LIMS1"	9.17420152661603e-39	0.427116723533999	1	1	1.12365620297993e-34	"0"	"LIMS1"
"TGFBR2"	1.16502498262037e-38	0.304007633647984	1	1	1.42692259871343e-34	"0"	"TGFBR2"
"SLC4A7"	1.59058483892124e-38	0.664081705023413	1	1	1.94814831071074e-34	"0"	"SLC4A7"
"MFHAS1"	3.08713569659651e-38	0.90863090323446	1	1	3.7811238011914e-34	"0"	"MFHAS1"
"FOXO1"	5.39796640033588e-38	0.721143424046996	1	1	6.61142924713138e-34	"0"	"FOXO1"
"SH3BGRL3"	9.29454374391392e-38	0.307566395282167	1	1	1.13839571775458e-33	"0"	"SH3BGRL3"
"JUNB"	9.56266236460704e-38	0.504184707230085	1	1	1.17123488641707e-33	"0"	"JUNB"
"SOGA3"	1.06724509619916e-37	1.16710446904287	1	1	1.30716179382473e-33	"0"	"SOGA3"
"TBC1D2B"	1.23673746892729e-37	0.349820376386393	1	1	1.51475605194214e-33	"0"	"TBC1D2B"
"LCP1"	1.38890218779694e-37	0.359739454992619	1	1	1.70112739961369e-33	"0"	"LCP1"
"LTC4S"	1.67083191240465e-37	1.06254343666589	1	1	2.04643492631321e-33	"0"	"LTC4S"
"CCNH"	2.53480087124001e-37	0.546781331281206	1	1	3.10462410709477e-33	"0"	"CCNH"
"LOC284454"	2.70389966903873e-37	1.24212419371598	1	1	3.31173631463863e-33	"0"	"LOC284454"
"IL18RAP"	2.96994471129433e-37	0.523129076685311	1	1	3.63758828239329e-33	"0"	"IL18RAP"
"PCNX2"	3.11389771376209e-37	0.509362288732881	1	1	3.8139019198158e-33	"0"	"PCNX2"
"XYLT1"	3.37641965993749e-37	0.850679417708125	1	1	4.13543879949143e-33	"0"	"XYLT1"
"PNP"	3.72017273948912e-37	0.503680453840584	1	1	4.55646757132627e-33	"0"	"PNP"
"PBXIP1"	4.72507004579699e-37	0.366141002684248	1	1	5.78726579209215e-33	"0"	"PBXIP1"
"USP36"	5.29881392866995e-37	0.552140414114291	1	1	6.48998729983496e-33	"0"	"USP36"
"HSPA1B"	1.25034696658123e-36	0.957537768364421	1	1	1.53142496466869e-32	"0"	"HSPA1B"
"SUSD6"	1.75810281380803e-36	0.667136017100489	1	1	2.15332432635207e-32	"0"	"SUSD6"
"SH2D2A"	2.60985303177649e-36	0.489637364271417	1	1	3.19654799331985e-32	"0"	"SH2D2A"
"FBXO34"	2.72679343028201e-36	0.993804128559344	1	1	3.3397765934094e-32	"0"	"FBXO34"
"MBOAT1"	4.10960114812716e-36	0.873867233434037	1	1	5.03343948622614e-32	"0"	"MBOAT1"
"GALM"	5.19435392864565e-36	0.564983834034052	1	1	6.36204469180519e-32	"0"	"GALM"
"INPP4B"	5.90118100802602e-36	0.303528923200389	1	1	7.22776649863027e-32	"0"	"INPP4B"
"BATF"	6.85113557312182e-36	0.884653429720633	1	1	8.39127084995961e-32	"0"	"BATF"
"NTRK1"	7.00617202438238e-36	0.413635914255046	1	1	8.58115949546354e-32	"0"	"NTRK1"
"SNTB2"	2.96621277591313e-35	0.60441214957239	1	1	3.6330174079384e-31	"0"	"SNTB2"
"RPS6KA3"	3.17796892844211e-35	0.277237536160133	1	1	3.8923763435559e-31	"0"	"RPS6KA3"
"TRIP10"	3.51480763541571e-35	0.550571329393051	1	1	4.30493639185716e-31	"0"	"TRIP10"
"PAG1"	4.65344903472525e-35	0.520114344205492	1	1	5.69954437773148e-31	"0"	"PAG1"
"RORC"	4.83398148235874e-35	1.2386166814112	1	1	5.92066051959299e-31	"0"	"RORC"
"ZFP36L1"	4.99301283780306e-35	0.602251204087612	1	1	6.11544212374119e-31	"0"	"ZFP36L1"
"HLF"	5.17303113187391e-35	0.667145839087496	1	1	6.33592853031917e-31	"0"	"HLF"
"MIR4680"	6.96215920639931e-35	0.474774245323255	1	1	8.52725259599787e-31	"0"	"MIR4680"
"DYNLT3"	7.95024774151945e-35	0.479241118632803	1	1	9.73746343381302e-31	"0"	"DYNLT3"
"ARID5A"	8.99179869223792e-35	0.543517835291858	1	1	1.1013155038253e-30	"0"	"ARID5A"
"OCIAD2"	2.08505126928915e-34	0.56918502081858	1	1	2.55377079462535e-30	"0"	"OCIAD2"
"SLC9A9"	2.34828479726175e-34	0.817267013354392	1	1	2.87617921968619e-30	"0"	"SLC9A9"
"FURIN"	3.15847801389505e-34	1.09671586982988	1	1	3.86850387141866e-30	"0"	"FURIN"
"PBX4"	4.76573909829839e-34	0.701972046249409	1	1	5.83707724759587e-30	"0"	"PBX4"
"BIRC3"	6.28262277999906e-34	0.639883656580228	1	1	7.69495638094285e-30	"0"	"BIRC3"
"AMPD3"	7.55126488689097e-34	0.784901120073478	1	1	9.24878923346407e-30	"0"	"AMPD3"
"ORAI2"	7.76772008105535e-34	0.806772923499786	1	1	9.51390355527659e-30	"0"	"ORAI2"
"ZBTB7B"	8.80865867958096e-34	0.515339865512534	1	1	1.07888451507508e-29	"0"	"ZBTB7B"
"DST"	1.43117956689127e-33	0.576415112586007	1	1	1.75290873352842e-29	"0"	"DST"
"RPLP1"	1.75881125877215e-33	0.322344250930941	1	1	2.15419202974413e-29	"0"	"RPLP1"
"JAML"	3.6808024452078e-33	0.494208230109674	1	1	4.50824683489051e-29	"0"	"JAML"
"NMRK1"	3.97192970157426e-33	0.668588894546431	1	1	4.86481949848815e-29	"0"	"NMRK1"
"AREG"	4.58311882163418e-33	1.31792760398365	1	1	5.61340393273754e-29	"0"	"AREG"
"YWHAQ"	5.04101518365514e-33	0.659585441249678	1	1	6.17423539694081e-29	"0"	"YWHAQ"
"LGALS8"	6.40924816689975e-33	0.476951050034636	1	1	7.85004715481882e-29	"0"	"LGALS8"
"CDKN1A"	1.02816206794141e-32	1.19238383370011	1	1	1.25929290081464e-28	"0"	"CDKN1A"
"SH3TC1"	1.03168505639196e-32	1.02034994846459	1	1	1.26360785706888e-28	"0"	"SH3TC1"
"ST8SIA1"	1.09889613885416e-32	0.831569925001368	1	1	1.34592799086857e-28	"0"	"ST8SIA1"
"HIF1A-AS2"	1.10492689960142e-32	0.457429906471965	1	1	1.35331446663181e-28	"0"	"HIF1A-AS2"
"ARHGAP35"	2.02317183982818e-32	0.593174152281613	1	1	2.47798086942155e-28	"0"	"ARHGAP35"
"IDS"	2.26316935560053e-32	0.474645624904944	1	1	2.77192982673953e-28	"0"	"IDS"
"APOBEC3H"	3.02864127476486e-32	0.760060583802463	1	1	3.709479833332e-28	"0"	"APOBEC3H"
"ESR1"	4.11681045624623e-32	0.865782409067723	1	1	5.04226944681038e-28	"0"	"ESR1"
"CASS4"	4.81660907730055e-32	0.608628090310518	1	1	5.89938279787771e-28	"0"	"CASS4"
"PGK1"	5.19289429131947e-32	0.482661840589525	1	1	6.36025692800809e-28	"0"	"PGK1"
"RNF207"	5.67912710221056e-32	0.881848011862417	1	1	6.9557948747875e-28	"0"	"RNF207"
"BCL6"	6.03830373984137e-32	1.00927331228377	1	1	7.39571442055771e-28	"0"	"BCL6"
"SMOX"	6.69874301802681e-32	1.03159432951377	1	1	8.20462044847923e-28	"0"	"SMOX"
"STK24"	8.31683991093426e-32	0.46673428419232	1	1	1.01864655229123e-27	"0"	"STK24"
"CRYBG2"	8.42215415047449e-32	0.411567847801066	1	1	1.03154544035012e-27	"0"	"CRYBG2"
